Price,Close,High,Low,Open,Volume
Ticker,2303.TW,2303.TW,2303.TW,2303.TW,2303.TW
Date,,,,,
2025-01-02,43.70000076293945,43.70000076293945,42.849998474121094,42.900001525878906,65305876
2025-01-03,43.099998474121094,44.150001525878906,43.099998474121094,43.95000076293945,42345224
2025-01-06,43.400001525878906,43.75,43.349998474121094,43.599998474121094,30917178
2025-01-07,42.349998474121094,43.79999923706055,42.349998474121094,43.650001525878906,58823388
2025-01-08,42.70000076293945,42.900001525878906,42.349998474121094,42.400001525878906,37912494
2025-01-09,41.599998474121094,42.95000076293945,41.599998474121094,42.70000076293945,46690991
2025-01-10,41.29999923706055,41.599998474121094,40.79999923706055,41.25,40822034
2025-01-13,40.900001525878906,41.70000076293945,40.79999923706055,41.0,48487516
2025-01-14,42.25,42.25,41.04999923706055,41.20000076293945,37074886
2025-01-15,41.45000076293945,42.5,41.45000076293945,42.04999923706055,35977056
2025-01-16,41.54999923706055,42.25,41.54999923706055,41.900001525878906,37293479
2025-01-17,41.20000076293945,41.75,41.20000076293945,41.400001525878906,44131855
2025-01-20,42.75,42.75,41.5,41.54999923706055,47283878
2025-01-21,42.95000076293945,43.29999923706055,42.400001525878906,42.75,42221204
2025-01-22,40.20000076293945,40.54999923706055,39.70000076293945,39.70000076293945,147906733
2025-02-03,40.5,41.650001525878906,40.0,40.20000076293945,112180567
2025-02-04,40.099998474121094,40.95000076293945,40.099998474121094,40.95000076293945,58040732
2025-02-05,40.099998474121094,40.650001525878906,40.099998474121094,40.400001525878906,33884048
2025-02-06,40.099998474121094,40.349998474121094,39.95000076293945,40.29999923706055,32609083
2025-02-07,40.150001525878906,40.29999923706055,40.099998474121094,40.099998474121094,23131801
2025-02-10,40.20000076293945,40.29999923706055,39.900001525878906,40.150001525878906,30946715
2025-02-11,40.400001525878906,40.5,40.150001525878906,40.29999923706055,29858425
2025-02-12,40.099998474121094,40.5,40.04999923706055,40.400001525878906,27984906
2025-02-13,41.400001525878906,41.75,40.20000076293945,40.25,63852185
2025-02-14,41.400001525878906,41.75,41.04999923706055,41.5,28541805
2025-02-17,42.0,42.20000076293945,41.45000076293945,41.5,32974664
2025-02-18,41.95000076293945,42.29999923706055,41.70000076293945,42.04999923706055,35961690
2025-02-19,42.54999923706055,42.95000076293945,42.150001525878906,42.20000076293945,54652494
2025-02-20,43.0,43.29999923706055,42.849998474121094,43.0,40006471
2025-02-21,43.599998474121094,43.599998474121094,43.20000076293945,43.349998474121094,34296687
2025-02-24,43.54999923706055,43.650001525878906,42.79999923706055,43.04999923706055,30194703
2025-02-25,43.29999923706055,43.5,42.900001525878906,43.04999923706055,35619504
2025-02-26,43.599998474121094,43.79999923706055,43.04999923706055,43.099998474121094,35139939
2025-02-27,43.70000076293945,44.150001525878906,43.400001525878906,44.0,69299467
2025-03-03,43.599998474121094,43.599998474121094,42.849998474121094,43.099998474121094,53120564
2025-03-04,43.599998474121094,43.849998474121094,42.900001525878906,42.95000076293945,44284021
2025-03-05,44.0,44.5,43.70000076293945,44.099998474121094,46383229
2025-03-06,44.0,44.45000076293945,43.900001525878906,44.29999923706055,30376684
2025-03-07,44.150001525878906,44.599998474121094,43.79999923706055,44.0,31779134
2025-03-10,45.04999923706055,45.29999923706055,44.400001525878906,44.54999923706055,58815717
2025-03-11,44.849998474121094,45.0,44.20000076293945,44.29999923706055,68052418
2025-03-12,44.79999923706055,44.95000076293945,44.099998474121094,44.70000076293945,43316994
2025-03-13,43.70000076293945,44.70000076293945,43.599998474121094,44.70000076293945,57573005
2025-03-14,44.900001525878906,45.04999923706055,43.5,43.54999923706055,68441495
2025-03-17,44.099998474121094,45.150001525878906,44.099998474121094,45.0,44201092
2025-03-18,44.5,45.0,44.150001525878906,44.20000076293945,42180476
2025-03-19,44.29999923706055,44.900001525878906,44.29999923706055,44.5,37314811
2025-03-20,45.150001525878906,45.150001525878906,44.70000076293945,44.70000076293945,43291329
2025-03-21,45.0,45.0,44.5,45.0,39145180
2025-03-24,44.849998474121094,45.29999923706055,44.599998474121094,45.0,36059208
2025-03-25,44.849998474121094,45.20000076293945,44.45000076293945,45.0,36461286
2025-03-26,44.54999923706055,44.79999923706055,44.29999923706055,44.75,28156495
2025-03-27,44.79999923706055,44.79999923706055,44.0,44.099998474121094,43278476
2025-03-28,44.54999923706055,44.599998474121094,44.099998474121094,44.599998474121094,37954776
